NAAC,Current course,upskill,course_hs,Shares country_hs,ranking,salary
B++,BA,Managment,Finance,AUSTRALIA,104,54100
C,PG in finance,Finance,none,UK,70,49500
B,PG in datascience,Finance,Engineering,OTHER ASIAN COUNTRY,176,42900
NO GRADE,"BE in cse,electronics,IT,Telecom",none,Engineering,OTHER EUROPIAN COUNTRY,124,44100
D,BE in Datascience,none,Finance,GERMANY,35,54000
C,PG in datascience,Datascience,none,none,47,51300
NO GRADE,CA,none,none,none,185,31500
C,PG in Marketing,Art,IT,none,145,46500
B+,BCom,Finance,IT,OTHER ASIAN COUNTRY,71,51900
A,PG in finance,Managment,IT,AUSTRALIA,157,51800
A++,PG in datascience,Datascience,others,OTHER ASIAN COUNTRY,112,47800
B,BA,IT,IT,GERMANY,159,49600
A,"BE in cse,electronics,IT,Telecom",Datascience,others,CANADA,20,57000
C,PG in HR,Datascience,others,OTHER EUROPIAN COUNTRY,102,51800
C,BE in Datascience,IT,Engineering,GERMANY,20,63000
D,CA,Managment,others,none,173,39700
A++,PG in datascience,none,others,OTHER ASIAN COUNTRY,15,51500
A,PG in finance,Datascience,Economics,GERMANY,11,64400
A,B.Sc,Finance,Management,CANADA,37,52300
B,"BE in cse,electronics,IT,Telecom",Finance,Finance,OTHER EUROPIAN COUNTRY,8,57200
B++,BCom,Managment,none,none,96,43400
NO GRADE,"BE in cse,electronics,IT,Telecom",Managment,IT,INDIA,125,54500
A+,PG in HR,Datascience,IT,AUSTRALIA,194,51600
A+,CA,Art,none,UK,29,54600
A,PG in HR,Art,Management,UK,76,56900
C,"BE in cse,electronics,IT,Telecom",Finance,Economics,AUSTRALIA,195,46000
B,PG in finance,Art,others,CANADA,182,39800
A++,BCom,IT,others,OTHER ASIAN COUNTRY,55,50000
A+,BE in Datascience,Managment,none,CANADA,100,48000
B++,PG in Marketing,none,others,none,155,36000
B,PG in finance,none,IT,none,23,53700
A+,B.Sc,Managment,none,UK,175,37000
A+,CA,Art,Economics,OTHER EUROPIAN COUNTRY,25,59500
A++,"BE in cse,electronics,IT,Telecom",none,none,US,103,44700
D,PG in Marketing,none,IT,US,26,58400
NO GRADE,BE in Datascience,none,Management,CANADA,31,53400
A++,PG in HR,Finance,Finance,none,80,51500
A++,BA,none,none,INDIA,79,48100
D,B.Sc,Finance,Economics,none,73,48700
B+,B.Sc,Managment,Finance,none,146,39900
D,BA,Finance,Finance,GERMANY,3,60700
D,BE in others,Art,others,OTHER ASIAN COUNTRY,84,48600
D,BCom,Datascience,Finance,AUSTRALIA,38,58200
C,BE in Datascience,Art,Economics,US,97,56800
C,CA,Managment,others,US,27,59300
B++,B.Sc,Finance,others,AUSTRALIA,66,51400
C,BE in Datascience,IT,Economics,none,11,60400
A+,BE in others,Managment,none,OTHER ASIAN COUNTRY,112,44800
A++,BA,IT,IT,none,46,56900
A,CA,Managment,IT,INDIA,89,58100
A+,PG in HR,Finance,Engineering,INDIA,30,64500
A+,"BE in cse,electronics,IT,Telecom",none,none,UK,129,39600
D,BCom,Art,Management,AUSTRALIA,172,45300
B,BE in others,none,Engineering,none,12,52800
B++,BE in Datascience,Art,Management,US,16,63400
NO GRADE,PG in Marketing,none,Finance,GERMANY,37,52800
NO GRADE,B.Sc,none,none,INDIA,103,41700
NO GRADE,B.Sc,Datascience,none,CANADA,26,51400
A,PG in HR,Art,Economics,OTHER EUROPIAN COUNTRY,89,56100
B++,PG in datascience,Finance,IT,OTHER ASIAN COUNTRY,95,52000
C,B.Sc,none,Engineering,AUSTRALIA,47,52800
NO GRADE,"BE in cse,electronics,IT,Telecom",none,Engineering,INDIA,57,54800
D,PG in finance,Datascience,Economics,GERMANY,114,54100
A,CA,Finance,none,INDIA,197,39800
A,PG in datascience,Finance,Engineering,OTHER EUROPIAN COUNTRY,131,47400
A++,B.Sc,Managment,Management,UK,152,43300
NO GRADE,PG in Marketing,Managment,others,OTHER ASIAN COUNTRY,144,44100
B+,BCom,Managment,IT,UK,122,49300
A,PG in HR,Datascience,none,none,153,43700
D,PG in finance,IT,IT,US,112,54800
B+,PG in Marketing,IT,Management,AUSTRALIA,127,52300
B+,BE in Datascience,Managment,none,OTHER EUROPIAN COUNTRY,160,42000
A++,B.Sc,none,Finance,AUSTRALIA,175,37500
NO GRADE,PG in Marketing,none,Engineering,US,122,47800
D,PG in datascience,none,Management,US,197,39300
C,BA,IT,IT,OTHER ASIAN COUNTRY,139,49100
B++,BCom,Datascience,none,INDIA,75,51500
B,PG in datascience,Finance,none,CANADA,164,39100
B+,CA,Finance,IT,OTHER EUROPIAN COUNTRY,152,46300
B+,BE in others,Art,Engineering,INDIA,22,62300
A++,PG in Marketing,none,none,OTHER ASIAN COUNTRY,170,34500
B+,B.Sc,none,Management,OTHER EUROPIAN COUNTRY,3,51700
B++,"BE in cse,electronics,IT,Telecom",Managment,Finance,CANADA,188,40700
B+,CA,Managment,none,OTHER ASIAN COUNTRY,27,54300
A,"BE in cse,electronics,IT,Telecom",IT,Finance,AUSTRALIA,158,47700
D,B.Sc,Managment,IT,CANADA,169,42600
B+,PG in Marketing,Finance,Management,GERMANY,144,47600
B,BE in others,none,IT,OTHER ASIAN COUNTRY,186,37900
B,CA,Datascience,none,OTHER EUROPIAN COUNTRY,79,49600
NO GRADE,PG in Marketing,none,Engineering,GERMANY,57,53300
A++,BE in Datascience,Finance,others,AUSTRALIA,15,61000
D,B.Sc,Finance,none,AUSTRALIA,193,37200
A++,BE in others,Managment,IT,OTHER EUROPIAN COUNTRY,60,56000
B+,PG in datascience,Finance,Finance,US,165,45000
A++,"BE in cse,electronics,IT,Telecom",none,Management,US,126,46400
NO GRADE,PG in Marketing,Managment,Management,GERMANY,43,59200
A,PG in finance,none,Management,CANADA,68,48700
A++,B.Sc,Managment,others,OTHER EUROPIAN COUNTRY,61,48900
A,CA,Datascience,Engineering,INDIA,191,47400
NO GRADE,CA,Art,Engineering,AUSTRALIA,78,58200
B++,PG in Marketing,Art,Finance,CANADA,143,44700
A+,BCom,Finance,IT,none,123,45200
D,PG in Marketing,Finance,Engineering,OTHER EUROPIAN COUNTRY,141,46400
B,BCom,Managment,IT,CANADA,129,47600
B+,B.Sc,none,IT,OTHER ASIAN COUNTRY,104,43600
B,PG in Marketing,Art,Finance,UK,68,53200
B,B.Sc,Finance,Finance,none,158,37200
D,PG in Marketing,Finance,Finance,OTHER EUROPIAN COUNTRY,107,47300
A,PG in HR,IT,IT,US,171,51900
A++,BA,IT,none,INDIA,141,46900
B,"BE in cse,electronics,IT,Telecom",IT,IT,INDIA,6,65900
B,BA,none,none,OTHER EUROPIAN COUNTRY,183,33700
B++,PG in datascience,Managment,Finance,CANADA,62,53300
C,PG in datascience,Datascience,others,AUSTRALIA,196,43900
B,PG in Marketing,Datascience,others,UK,108,49200
A++,BE in others,Finance,Economics,INDIA,98,54200
B+,BCom,Datascience,none,OTHER ASIAN COUNTRY,123,42700
C,PG in HR,IT,none,none,15,56500
NO GRADE,PG in Marketing,Art,none,CANADA,53,51200
A+,BA,Art,IT,none,52,56300
B+,BE in others,Art,Economics,UK,123,49700
A,PG in HR,Managment,Economics,AUSTRALIA,43,65700
B+,"BE in cse,electronics,IT,Telecom",Art,others,OTHER ASIAN COUNTRY,116,46400
B+,PG in datascience,Managment,Engineering,GERMANY,180,46500
B,BCom,Art,Management,US,183,43200
A+,PG in HR,Managment,Finance,GERMANY,168,48200
A,BE in Datascience,Finance,others,AUSTRALIA,159,46600
A++,BE in others,Finance,IT,OTHER ASIAN COUNTRY,98,50700
B+,BA,Finance,others,OTHER ASIAN COUNTRY,25,55000
A+,CA,Finance,IT,GERMANY,16,62400
NO GRADE,BE in Datascience,Finance,Economics,AUSTRALIA,83,58200
B,CA,none,IT,US,87,52300
B+,PG in finance,Art,Engineering,GERMANY,140,50000
NO GRADE,PG in finance,Datascience,Management,none,5,59500
A+,BE in others,Datascience,Finance,INDIA,28,60200
A++,BA,Art,Finance,OTHER EUROPIAN COUNTRY,127,46800
A+,CA,Finance,others,OTHER ASIAN COUNTRY,185,38500
B,PG in datascience,Finance,Engineering,UK,149,46600
B+,BCom,Datascience,Finance,OTHER ASIAN COUNTRY,168,40700
B,PG in datascience,Managment,others,GERMANY,68,54200
C,BA,Datascience,others,UK,57,54800
A++,CA,Managment,Economics,GERMANY,100,55000
B+,BE in Datascience,Finance,Finance,GERMANY,134,48100
B++,PG in HR,Finance,others,US,87,54800
A++,BA,Datascience,Engineering,INDIA,77,59300
A++,PG in datascience,Art,IT,OTHER ASIAN COUNTRY,154,47100
D,B.Sc,Finance,Finance,US,148,43200
B++,B.Sc,Art,others,none,41,48900
D,PG in Marketing,Art,others,none,46,51900
NO GRADE,CA,Finance,others,UK,8,57200
A,CA,Managment,none,UK,29,55100
B,PG in HR,Managment,Finance,OTHER EUROPIAN COUNTRY,55,57000
A++,B.Sc,Datascience,others,OTHER ASIAN COUNTRY,153,40200
A,BCom,Managment,others,UK,116,45400
A++,BA,Art,none,US,95,51000
B++,B.Sc,Datascience,Finance,INDIA,19,58600
B+,PG in Marketing,Datascience,others,none,100,47500
B++,PG in HR,none,IT,US,184,45600
B,BE in others,Datascience,Economics,INDIA,58,60200
A++,PG in HR,Finance,IT,GERMANY,171,49900
B+,BCom,none,Economics,OTHER EUROPIAN COUNTRY,183,36200
A+,CA,Managment,Engineering,GERMANY,56,58900
C,BE in Datascience,Finance,Finance,UK,148,45200
B++,BA,IT,Finance,OTHER ASIAN COUNTRY,2,59300
C,BCom,IT,Finance,OTHER EUROPIAN COUNTRY,61,50400
B+,CA,none,none,GERMANY,179,36100
A+,PG in HR,Finance,IT,UK,191,46400
A++,CA,Art,Management,OTHER EUROPIAN COUNTRY,15,59000
A,"BE in cse,electronics,IT,Telecom",Managment,Finance,OTHER EUROPIAN COUNTRY,65,53000
A+,B.Sc,Datascience,Finance,GERMANY,105,48500
B++,BE in others,Art,none,OTHER ASIAN COUNTRY,107,44800
B+,BE in others,Datascience,none,CANADA,176,38900
D,BCom,Finance,Management,GERMANY,1,59400
B,PG in Marketing,Finance,none,none,44,49600
D,PG in HR,IT,IT,AUSTRALIA,96,60400
NO GRADE,BA,Managment,Economics,CANADA,147,48300
B,PG in HR,Art,IT,OTHER EUROPIAN COUNTRY,123,53200
B,BCom,Datascience,none,INDIA,39,55100
C,PG in datascience,Finance,others,OTHER ASIAN COUNTRY,2,56800
A+,CA,Datascience,Engineering,GERMANY,164,48600
NO GRADE,PG in Marketing,none,IT,US,40,57000
C,PG in HR,Finance,Management,none,35,57500
C,PG in datascience,none,others,GERMANY,85,47000
A+,PG in Marketing,IT,Economics,INDIA,19,64100
C,PG in datascience,none,IT,GERMANY,42,55800
A,PG in Marketing,Art,Finance,none,121,45400
B,PG in Marketing,Finance,Management,none,189,39100
B,CA,Datascience,IT,US,26,64400
C,PG in HR,none,Economics,US,65,57000
B,B.Sc,Managment,none,OTHER EUROPIAN COUNTRY,49,48600
NO GRADE,PG in HR,none,Engineering,GERMANY,182,43800
B++,CA,Art,IT,OTHER EUROPIAN COUNTRY,148,47700
C,PG in Marketing,none,none,INDIA,128,42700
D,PG in datascience,IT,Engineering,GERMANY,190,45000
NO GRADE,PG in datascience,Managment,Management,AUSTRALIA,187,46800
A,BE in Datascience,none,others,AUSTRALIA,131,45400
A+,PG in HR,Datascience,others,none,61,54400
A,B.Sc,Managment,others,GERMANY,101,47400
B++,"BE in cse,electronics,IT,Telecom",none,others,none,75,44000
NO GRADE,PG in finance,IT,IT,none,60,55000
B++,CA,Finance,none,GERMANY,39,54100
B++,BCom,Managment,Finance,OTHER EUROPIAN COUNTRY,85,48500
B++,"BE in cse,electronics,IT,Telecom",IT,Engineering,none,119,48100
B,CA,Datascience,IT,US,108,56200
C,PG in finance,Finance,Finance,CANADA,74,50600
B++,BE in others,Datascience,Economics,OTHER EUROPIAN COUNTRY,201,41900
B,B.Sc,Finance,IT,CANADA,145,43500
NO GRADE,PG in Marketing,Datascience,IT,GERMANY,162,49800
A++,B.Sc,IT,none,OTHER EUROPIAN COUNTRY,67,46300
D,CA,none,IT,AUSTRALIA,190,43000
B+,CA,Finance,Engineering,UK,51,56400
A,PG in finance,Art,Finance,GERMANY,170,44500
B+,"BE in cse,electronics,IT,Telecom",Managment,others,UK,98,49700
A+,PG in datascience,Art,Management,INDIA,57,58800
A++,B.Sc,Managment,Finance,none,149,39600
B,CA,Finance,Engineering,INDIA,1,64400
A++,PG in HR,none,IT,GERMANY,176,45400
A++,CA,Art,Economics,OTHER EUROPIAN COUNTRY,23,59700
C,"BE in cse,electronics,IT,Telecom",Datascience,Economics,GERMANY,1,65400
A,PG in HR,IT,IT,US,47,64300
B,PG in HR,IT,Engineering,OTHER EUROPIAN COUNTRY,19,62600
A,PG in finance,Datascience,Engineering,none,71,53900
NO GRADE,PG in datascience,Finance,others,AUSTRALIA,79,53600
B+,PG in finance,none,Management,none,182,35800
A,B.Sc,IT,Economics,OTHER ASIAN COUNTRY,74,51100
A++,PG in datascience,Managment,IT,US,168,49700
D,BCom,Managment,Engineering,US,96,53400
B+,PG in Marketing,Finance,Management,CANADA,111,48400
D,BE in Datascience,IT,others,INDIA,195,43500
A++,PG in finance,Finance,none,AUSTRALIA,172,42800
D,PG in datascience,Datascience,none,US,24,58600
A++,CA,none,Economics,AUSTRALIA,199,41600
C,PG in Marketing,Finance,IT,OTHER ASIAN COUNTRY,199,41600
B,CA,Finance,IT,none,50,55000
NO GRADE,PG in finance,IT,Finance,US,11,61400
B+,BE in Datascience,IT,IT,CANADA,100,53500
A+,BCom,Art,Economics,US,196,43400
D,B.Sc,Datascience,IT,OTHER ASIAN COUNTRY,154,44600
A++,BE in Datascience,none,Management,AUSTRALIA,86,52400
B,BA,IT,Engineering,INDIA,12,64800
B,CA,Art,Finance,CANADA,72,51800
C,PG in HR,Managment,Economics,US,19,67100
B,PG in HR,Datascience,Engineering,OTHER ASIAN COUNTRY,67,58800
A++,BA,none,IT,UK,144,44600
NO GRADE,PG in finance,none,Economics,US,99,50600
D,B.Sc,Datascience,others,US,137,45300
B+,BE in others,Managment,others,US,193,41700
A,"BE in cse,electronics,IT,Telecom",Art,none,CANADA,111,45400
A+,PG in datascience,Art,Engineering,INDIA,164,49100
B,BE in others,Datascience,Management,none,120,47000
B+,BE in Datascience,Datascience,Economics,GERMANY,21,64400
B++,"BE in cse,electronics,IT,Telecom",IT,Engineering,OTHER EUROPIAN COUNTRY,70,54500
B+,BCom,Finance,Management,none,22,53300
B+,PG in finance,Finance,others,US,42,56300
B++,B.Sc,Managment,Engineering,US,110,51000
B+,"BE in cse,electronics,IT,Telecom",IT,Management,OTHER ASIAN COUNTRY,56,54900
C,PG in datascience,Datascience,Management,UK,128,49700
B+,"BE in cse,electronics,IT,Telecom",Art,others,INDIA,29,59100
A,BA,Managment,Management,GERMANY,154,48600
A++,BE in others,Art,Management,OTHER ASIAN COUNTRY,145,45000
D,BCom,Datascience,none,OTHER ASIAN COUNTRY,46,50400
B++,BA,none,IT,INDIA,8,61200
D,BCom,Finance,Engineering,none,74,49100
B,PG in datascience,IT,Finance,CANADA,24,56600
B,PG in finance,Finance,others,OTHER EUROPIAN COUNTRY,138,43200
B+,"BE in cse,electronics,IT,Telecom",Art,Finance,AUSTRALIA,195,44000
B++,BA,Finance,Economics,OTHER ASIAN COUNTRY,7,60800
B++,CA,Managment,Management,UK,52,56800
C,BCom,Datascience,IT,US,152,49300
B++,PG in finance,none,Engineering,INDIA,143,46200
A++,PG in Marketing,Datascience,Engineering,US,199,46100
A,PG in Marketing,Art,others,US,41,57400
A++,"BE in cse,electronics,IT,Telecom",Datascience,Finance,INDIA,101,53900
D,"BE in cse,electronics,IT,Telecom",Finance,Engineering,OTHER ASIAN COUNTRY,28,57700
A++,B.Sc,none,Engineering,AUSTRALIA,167,40800
A++,"BE in cse,electronics,IT,Telecom",none,Finance,UK,51,49900
NO GRADE,PG in Marketing,Datascience,none,INDIA,38,57700
A+,CA,none,none,AUSTRALIA,172,38800
C,BE in Datascience,IT,none,OTHER EUROPIAN COUNTRY,175,40000
A,PG in Marketing,none,Engineering,AUSTRALIA,39,57100
C,"BE in cse,electronics,IT,Telecom",Art,others,UK,8,58200
D,"BE in cse,electronics,IT,Telecom",none,Engineering,OTHER EUROPIAN COUNTRY,25,54000
B+,PG in finance,IT,Finance,US,15,61000
B+,PG in finance,Art,Finance,OTHER EUROPIAN COUNTRY,8,58200
A+,PG in Marketing,Finance,Management,CANADA,77,51800
C,BE in Datascience,Finance,Finance,US,101,52400
D,PG in Marketing,none,none,AUSTRALIA,125,43500
A++,PG in finance,IT,Engineering,AUSTRALIA,200,46000
B++,PG in HR,none,Engineering,AUSTRALIA,183,45700
D,PG in datascience,Datascience,IT,AUSTRALIA,107,57300
A+,PG in finance,Managment,Finance,OTHER EUROPIAN COUNTRY,109,48600
A,B.Sc,Managment,Management,CANADA,32,54300
B+,BE in Datascience,Finance,Economics,CANADA,5,61500
B++,BA,Managment,others,OTHER EUROPIAN COUNTRY,132,45800
NO GRADE,BE in Datascience,IT,others,GERMANY,84,53100
C,BE in others,Finance,IT,AUSTRALIA,154,49600
D,PG in HR,IT,Management,GERMANY,134,52600
A+,PG in finance,Art,Management,OTHER EUROPIAN COUNTRY,94,51100
D,CA,Finance,Finance,GERMANY,168,43700
C,BCom,IT,Engineering,INDIA,199,43100
A++,BE in Datascience,Finance,others,US,136,47900
A++,BA,Art,IT,OTHER EUROPIAN COUNTRY,121,50900
A++,BA,Art,Engineering,GERMANY,199,44600
D,B.Sc,Art,others,GERMANY,96,47400
B,BE in others,none,Finance,OTHER EUROPIAN COUNTRY,70,46000
A+,PG in finance,Managment,others,US,67,55300
B++,PG in datascience,Managment,none,AUSTRALIA,136,47900
A++,BA,Art,IT,OTHER ASIAN COUNTRY,93,53700
B++,CA,IT,others,OTHER EUROPIAN COUNTRY,4,57600
B+,PG in Marketing,Datascience,Finance,INDIA,158,48200
B,PG in datascience,Art,Finance,OTHER ASIAN COUNTRY,163,42700
B,BA,Datascience,others,US,126,50400
NO GRADE,BA,Art,Economics,UK,199,43600
A,BE in others,Managment,others,US,149,46100
A++,B.Sc,IT,none,OTHER ASIAN COUNTRY,74,45600
B+,PG in HR,none,Finance,AUSTRALIA,42,57300
A,PG in Marketing,Finance,Economics,CANADA,73,53700
A+,BA,Datascience,Finance,AUSTRALIA,33,61700
A,PG in finance,Datascience,none,GERMANY,157,44300
B++,CA,Finance,others,UK,90,49000
A,BE in Datascience,Datascience,others,GERMANY,66,55900
C,B.Sc,Art,none,none,112,40300
A+,BCom,none,Finance,UK,21,50400
C,PG in finance,IT,Economics,INDIA,116,54400
A+,B.Sc,Art,Economics,none,4,56600
A++,BE in Datascience,none,Engineering,OTHER ASIAN COUNTRY,57,51800
B+,BA,Art,IT,UK,42,59800
B++,BE in Datascience,Managment,Finance,CANADA,8,59700
A++,PG in Marketing,Datascience,Economics,UK,83,55700
B+,PG in Marketing,Datascience,others,AUSTRALIA,84,55100
NO GRADE,PG in HR,IT,Engineering,none,186,44400
C,B.Sc,Finance,Engineering,CANADA,159,41100
A+,"BE in cse,electronics,IT,Telecom",Datascience,others,GERMANY,41,57400
A++,PG in datascience,IT,Management,none,122,46800
B+,PG in Marketing,Managment,Finance,OTHER EUROPIAN COUNTRY,5,59000
B,PG in finance,none,Finance,none,147,37800
NO GRADE,PG in Marketing,Datascience,Management,OTHER ASIAN COUNTRY,67,54800
B++,PG in finance,Art,Management,OTHER ASIAN COUNTRY,3,60200
B++,BE in others,Finance,Finance,GERMANY,60,53500
B++,BA,IT,others,OTHER EUROPIAN COUNTRY,150,43500
A+,BA,IT,Engineering,CANADA,171,44900
B,BA,Art,Management,none,47,54800
D,B.Sc,Managment,others,US,69,51600
C,PG in HR,IT,none,AUSTRALIA,176,46400
A,PG in Marketing,Managment,IT,none,50,56500
B+,PG in HR,none,none,UK,70,48500
B+,PG in Marketing,Art,none,UK,42,53300
A++,PG in datascience,Art,others,GERMANY,138,46700
B+,PG in datascience,Finance,Engineering,GERMANY,15,61500
A+,CA,none,Management,GERMANY,69,51100
A++,"BE in cse,electronics,IT,Telecom",IT,Engineering,UK,194,43100
B++,PG in datascience,Datascience,Management,OTHER EUROPIAN COUNTRY,123,49200
A++,PG in datascience,Art,Management,none,194,39600
C,PG in Marketing,Managment,Engineering,INDIA,110,55000
B+,BE in others,none,Management,INDIA,111,47400
B,PG in HR,IT,Economics,none,62,57300
A++,BE in Datascience,IT,Finance,UK,18,59200
C,BE in others,Datascience,Management,INDIA,196,44900
A,PG in finance,none,Finance,OTHER ASIAN COUNTRY,68,47200
A+,BA,Finance,Engineering,UK,31,58900
A++,PG in datascience,Finance,Management,INDIA,77,55800
A++,BA,none,others,none,22,49800
B,BE in Datascience,none,Finance,INDIA,12,57800
B+,BCom,Managment,Finance,US,161,44400
A,B.Sc,Finance,Engineering,UK,62,51800
NO GRADE,BE in others,IT,IT,CANADA,42,57300
A++,PG in HR,Art,Economics,OTHER EUROPIAN COUNTRY,49,60100
A,PG in Marketing,Managment,Management,none,195,40000
C,BE in others,IT,Management,OTHER ASIAN COUNTRY,20,57500
A+,BA,Art,others,US,39,58100
B+,PG in Marketing,Managment,none,GERMANY,83,51200
B++,PG in finance,Managment,others,GERMANY,157,45300
D,PG in finance,Managment,Engineering,GERMANY,188,45700
A,PG in datascience,none,Finance,GERMANY,96,46900
B+,PG in datascience,Finance,others,OTHER EUROPIAN COUNTRY,98,47200
A++,PG in datascience,IT,none,US,137,46300
B,BE in Datascience,none,Management,none,62,48800
B++,BCom,IT,Economics,none,78,50200
C,BCom,Managment,Finance,OTHER ASIAN COUNTRY,195,37500
B++,"BE in cse,electronics,IT,Telecom",IT,Economics,US,93,56200
A+,"BE in cse,electronics,IT,Telecom",IT,IT,OTHER ASIAN COUNTRY,3,62200
B++,BE in Datascience,Managment,Management,AUSTRALIA,72,59300
B++,PG in HR,none,Finance,AUSTRALIA,123,49200
C,PG in finance,Datascience,none,CANADA,9,56600
D,BE in Datascience,Finance,Management,GERMANY,175,45500
C,CA,IT,Finance,GERMANY,52,56300
B,B.Sc,Managment,others,GERMANY,97,47800
C,BCom,IT,Engineering,none,187,38800
B+,PG in Marketing,Finance,IT,OTHER EUROPIAN COUNTRY,32,58300
B+,CA,none,IT,none,120,44000
D,B.Sc,Art,Economics,CANADA,130,45500
NO GRADE,BA,Datascience,others,none,163,41700
B++,BE in others,Datascience,Economics,CANADA,142,47800
A,BE in Datascience,IT,Finance,OTHER ASIAN COUNTRY,13,58700
D,PG in Marketing,Datascience,others,CANADA,163,42700
A+,BCom,Datascience,none,OTHER ASIAN COUNTRY,180,37000
D,B.Sc,Managment,none,GERMANY,96,46400
D,BA,none,Finance,CANADA,136,40900
NO GRADE,"BE in cse,electronics,IT,Telecom",Finance,IT,US,29,62100
D,PG in finance,none,Economics,OTHER EUROPIAN COUNTRY,126,44400
B,BE in others,Datascience,none,UK,165,41000
B,BE in Datascience,Datascience,Economics,OTHER ASIAN COUNTRY,126,51400
B,"BE in cse,electronics,IT,Telecom",Datascience,Engineering,GERMANY,15,63500
B++,B.Sc,IT,Economics,US,34,58600
B+,BA,IT,Finance,CANADA,94,50100
NO GRADE,B.Sc,Art,Engineering,GERMANY,90,51500
C,BCom,Art,none,AUSTRALIA,128,45700
C,BA,Art,none,US,131,47400
B,BCom,none,none,US,170,35500
A+,BE in others,Finance,Finance,UK,100,48000
A+,BA,Art,others,OTHER ASIAN COUNTRY,136,44900
A++,"BE in cse,electronics,IT,Telecom",Datascience,others,US,72,55300
B,BA,IT,IT,INDIA,81,58900
B+,BE in others,IT,none,INDIA,131,46400
NO GRADE,CA,none,IT,US,78,53200
A+,BE in Datascience,Art,others,GERMANY,177,43800
A++,BE in others,none,none,OTHER ASIAN COUNTRY,183,32200
A+,BE in others,IT,Economics,OTHER ASIAN COUNTRY,88,52200
NO GRADE,BE in Datascience,Art,IT,US,151,51900
C,PG in finance,Datascience,Economics,OTHER EUROPIAN COUNTRY,67,56300
D,CA,none,Management,OTHER EUROPIAN COUNTRY,169,38600
D,BE in others,Art,others,GERMANY,165,43000
C,PG in HR,Art,others,UK,28,59200
NO GRADE,CA,Datascience,Engineering,OTHER EUROPIAN COUNTRY,57,56800
C,BCom,none,Engineering,OTHER ASIAN COUNTRY,74,46600
A,BE in others,Art,others,GERMANY,14,58100
B+,"BE in cse,electronics,IT,Telecom",Art,Engineering,none,4,59600
C,PG in Marketing,Art,Engineering,UK,36,58900
A,PG in datascience,Finance,IT,CANADA,97,51800
B++,BCom,Art,IT,INDIA,176,46400
C,BE in others,none,IT,INDIA,26,57900
A+,BCom,Finance,none,AUSTRALIA,82,49300
A++,BA,Finance,Finance,OTHER ASIAN COUNTRY,106,47900
B,PG in finance,Art,Economics,CANADA,123,49700
B+,PG in HR,none,IT,OTHER EUROPIAN COUNTRY,83,52200
B++,PG in finance,IT,none,UK,179,39600
B++,BCom,Datascience,Management,GERMANY,200,41500
A,"BE in cse,electronics,IT,Telecom",Art,others,OTHER EUROPIAN COUNTRY,25,55500
D,BE in others,Managment,Engineering,INDIA,194,45600
A++,BE in Datascience,Finance,Engineering,AUSTRALIA,128,53200
A,BA,Datascience,IT,OTHER ASIAN COUNTRY,127,51300
B+,PG in Marketing,Art,Engineering,OTHER ASIAN COUNTRY,101,51400
NO GRADE,PG in finance,Art,Finance,none,69,50600
NO GRADE,CA,IT,Finance,INDIA,156,47400
NO GRADE,PG in Marketing,Art,IT,INDIA,138,52700
A++,PG in HR,none,Management,GERMANY,63,54700
B+,CA,none,IT,INDIA,26,58900
B,BA,Finance,Engineering,OTHER EUROPIAN COUNTRY,67,54300
C,CA,Managment,none,OTHER ASIAN COUNTRY,192,37800
B,"BE in cse,electronics,IT,Telecom",IT,Finance,GERMANY,26,58900
NO GRADE,PG in datascience,Managment,IT,none,159,45600
B+,BA,none,Finance,OTHER EUROPIAN COUNTRY,10,53500
B+,BE in others,none,none,INDIA,188,35700
A,PG in Marketing,Finance,Economics,AUSTRALIA,30,62500
B++,BCom,Datascience,none,CANADA,77,47300
B++,"BE in cse,electronics,IT,Telecom",Finance,Finance,CANADA,121,45900
B++,BA,Finance,others,UK,59,52600
D,"BE in cse,electronics,IT,Telecom",Art,Finance,US,137,48800
B,BE in Datascience,Managment,Engineering,OTHER ASIAN COUNTRY,73,55700
A++,PG in HR,Datascience,none,OTHER EUROPIAN COUNTRY,146,45900
D,PG in finance,IT,IT,none,133,47700
A+,B.Sc,none,Engineering,US,171,39400
NO GRADE,BA,IT,Economics,OTHER ASIAN COUNTRY,105,52000
NO GRADE,"BE in cse,electronics,IT,Telecom",Finance,Engineering,OTHER EUROPIAN COUNTRY,171,43400
A+,B.Sc,Finance,Finance,UK,186,36900
B,PG in Marketing,Managment,Finance,AUSTRALIA,25,61500
D,BE in Datascience,none,Management,INDIA,113,49200
B++,"BE in cse,electronics,IT,Telecom",Art,Finance,OTHER ASIAN COUNTRY,4,58600
D,BE in others,Datascience,Management,GERMANY,37,59300
B+,PG in Marketing,Managment,Management,CANADA,54,55600
B++,PG in Marketing,Art,Economics,INDIA,150,51000
B+,CA,none,Management,US,193,39700
B++,PG in datascience,Art,IT,none,132,47800
A,"BE in cse,electronics,IT,Telecom",Finance,others,US,58,54700
B+,PG in finance,none,Economics,UK,163,41700
A,PG in Marketing,IT,others,OTHER EUROPIAN COUNTRY,7,57300
A,B.Sc,Art,Economics,AUSTRALIA,160,47000
B++,BE in others,Datascience,Finance,OTHER EUROPIAN COUNTRY,127,46300
B,PG in datascience,Managment,Engineering,AUSTRALIA,194,47100
C,CA,Finance,others,CANADA,154,41600
NO GRADE,PG in finance,Finance,Economics,OTHER ASIAN COUNTRY,74,53600
